Num1,Sign,Num2,Equals,SIGN_ADD,SIGN_SUB,SIGN_MULT,SIGN_DIV
1,-,12,-11,0,1,0,0
98,*,87,8526,0,0,1,0
43,/,77,0.558441558,0,0,0,1
1,+,55,56,1,0,0,0
4,-,37,-33,0,1,0,0
32,*,84,2688,0,0,1,0
3,/,83,0.036144578,0,0,0,1
24,+,83,107,1,0,0,0
85,-,42,43,0,1,0,0
10,*,51,510,0,0,1,0
27,/,11,2.454545455,0,0,0,1
59,+,10,69,1,0,0,0
7,-,20,-13,0,1,0,0
8,*,31,248,0,0,1,0
97,/,39,2.487179487,0,0,0,1
3,+,0,3,1,0,0,0
99,-,66,33,0,1,0,0
2,*,57,114,0,0,1,0
76,/,62,1.225806452,0,0,0,1
2,+,37,39,1,0,0,0
53,-,55,-2,0,1,0,0
7,*,72,504,0,0,1,0
52,/,94,0.553191489,0,0,0,1
45,+,82,127,1,0,0,0
65,-,27,38,0,1,0,0
21,*,91,1911,0,0,1,0
22,/,71,0.309859155,0,0,0,1
56,+,75,131,1,0,0,0
67,-,12,55,0,1,0,0
56,*,30,1680,0,0,1,0
62,/,62,1,0,0,0,1
52,+,10,62,1,0,0,0
14,-,20,-6,0,1,0,0
80,*,28,2240,0,0,1,0
21,/,97,0.216494845,0,0,0,1
92,+,59,151,1,0,0,0
79,-,46,33,0,1,0,0
62,*,86,5332,0,0,1,0
37,/,39,0.948717949,0,0,0,1
13,+,34,47,1,0,0,0
72,-,7,65,0,1,0,0
3,*,66,198,0,0,1,0
19,/,79,0.240506329,0,0,0,1
46,+,2,48,1,0,0,0
19,-,68,-49,0,1,0,0
30,*,87,2610,0,0,1,0
5,/,19,0.263157895,0,0,0,1
81,+,71,152,1,0,0,0
84,-,77,7,0,1,0,0
8,*,60,480,0,0,1,0
65,/,81,0.802469136,0,0,0,1
9,+,86,95,1,0,0,0
62,-,6,56,0,1,0,0
57,*,29,1653,0,0,1,0
49,/,37,1.324324324,0,0,0,1
93,+,12,105,1,0,0,0
37,-,93,-56,0,1,0,0
33,*,2,66,0,0,1,0
14,/,6,2.333333333,0,0,0,1
39,+,18,57,1,0,0,0
97,-,11,86,0,1,0,0
46,*,76,3496,0,0,1,0
40,/,24,1.666666667,0,0,0,1
72,+,25,97,1,0,0,0
41,-,37,4,0,1,0,0
66,*,56,3696,0,0,1,0
90,/,9,10,0,0,0,1
11,+,17,28,1,0,0,0
17,-,84,-67,0,1,0,0
60,*,17,1020,0,0,1,0
43,/,93,0.462365591,0,0,0,1
5,+,72,77,1,0,0,0
47,-,83,-36,0,1,0,0
24,*,50,1200,0,0,1,0
85,/,21,4.047619048,0,0,0,1
47,+,49,96,1,0,0,0
7,-,15,-8,0,1,0,0
92,*,34,3128,0,0,1,0
36,/,92,0.391304348,0,0,0,1
62,+,10,72,1,0,0,0
67,-,83,-16,0,1,0,0
86,*,23,1978,0,0,1,0
33,/,89,0.370786517,0,0,0,1
47,+,14,61,1,0,0,0
54,-,21,33,0,1,0,0
7,*,95,665,0,0,1,0
15,/,83,0.180722892,0,0,0,1
71,+,49,120,1,0,0,0
39,-,20,19,0,1,0,0
83,*,43,3569,0,0,1,0
62,/,63,0.984126984,0,0,0,1
99,+,36,135,1,0,0,0
0,-,98,-98,0,1,0,0
86,*,65,5590,0,0,1,0
39,/,69,0.565217391,0,0,0,1
30,+,3,33,1,0,0,0
3,-,9,-6,0,1,0,0
44,*,68,2992,0,0,1,0
71,/,94,0.755319149,0,0,0,1
37,+,42,79,1,0,0,0
13,-,26,-13,0,1,0,0
15,*,35,525,0,0,1,0
2,/,45,0.044444444,0,0,0,1
39,+,3,42,1,0,0,0
90,-,15,75,0,1,0,0
85,*,76,6460,0,0,1,0
33,/,29,1.137931034,0,0,0,1
36,+,77,113,1,0,0,0
56,-,72,-16,0,1,0,0
68,*,92,6256,0,0,1,0
55,/,72,0.763888889,0,0,0,1
88,+,7,95,1,0,0,0
89,-,47,42,0,1,0,0
32,*,14,448,0,0,1,0
12,/,1,12,0,0,0,1
59,+,18,77,1,0,0,0
50,-,68,-18,0,1,0,0
67,*,30,2010,0,0,1,0
0,/,90,0,0,0,0,1
90,+,16,106,1,0,0,0
99,-,15,84,0,1,0,0
89,*,62,5518,0,0,1,0
70,/,87,0.804597701,0,0,0,1
50,+,70,120,1,0,0,0
34,-,0,34,0,1,0,0
90,*,68,6120,0,0,1,0
97,/,86,1.127906977,0,0,0,1
70,+,35,105,1,0,0,0
36,-,89,-53,0,1,0,0
17,*,82,1394,0,0,1,0
57,/,85,0.670588235,0,0,0,1
96,+,85,181,1,0,0,0
48,-,81,-33,0,1,0,0
17,*,58,986,0,0,1,0
47,/,51,0.921568627,0,0,0,1
17,+,58,75,1,0,0,0
62,-,92,-30,0,1,0,0
77,*,62,4774,0,0,1,0
82,/,69,1.188405797,0,0,0,1
7,+,72,79,1,0,0,0
53,-,0,53,0,1,0,0
34,*,43,1462,0,0,1,0
38,/,68,0.558823529,0,0,0,1
60,+,73,133,1,0,0,0
34,-,2,32,0,1,0,0
27,*,16,432,0,0,1,0
43,/,88,0.488636364,0,0,0,1
52,+,47,99,1,0,0,0
39,-,31,8,0,1,0,0
25,*,85,2125,0,0,1,0
23,/,88,0.261363636,0,0,0,1
87,+,5,92,1,0,0,0
6,-,42,-36,0,1,0,0
40,*,62,2480,0,0,1,0
64,/,61,1.049180328,0,0,0,1
27,+,86,113,1,0,0,0
12,-,66,-54,0,1,0,0
17,*,35,595,0,0,1,0
58,/,2,29,0,0,0,1
17,+,54,71,1,0,0,0
21,-,35,-14,0,1,0,0
2,*,53,106,0,0,1,0
73,/,71,1.028169014,0,0,0,1
15,+,17,32,1,0,0,0
60,-,1,59,0,1,0,0
38,*,7,266,0,0,1,0
40,/,51,0.784313725,0,0,0,1
54,+,29,83,1,0,0,0
47,-,42,5,0,1,0,0
58,*,2,116,0,0,1,0
73,/,56,1.303571429,0,0,0,1
93,+,94,187,1,0,0,0
37,-,13,24,0,1,0,0
75,*,95,7125,0,0,1,0
56,/,94,0.595744681,0,0,0,1
61,+,62,123,1,0,0,0
34,-,71,-37,0,1,0,0
37,*,73,2701,0,0,1,0
60,/,27,2.222222222,0,0,0,1
9,+,49,58,1,0,0,0
1,-,65,-64,0,1,0,0
75,*,95,7125,0,0,1,0
25,/,22,1.136363636,0,0,0,1
78,+,34,112,1,0,0,0
39,-,38,1,0,1,0,0
82,*,9,738,0,0,1,0
85,/,62,1.370967742,0,0,0,1
13,+,59,72,1,0,0,0
26,-,58,-32,0,1,0,0
7,*,95,665,0,0,1,0
62,/,57,1.087719298,0,0,0,1
62,+,47,109,1,0,0,0
12,-,43,-31,0,1,0,0
90,*,50,4500,0,0,1,0
25,/,25,1,0,0,0,1
73,+,26,99,1,0,0,0
1,-,90,-89,0,1,0,0
58,*,1,58,0,0,1,0
23,/,75,0.306666667,0,0,0,1
95,+,32,127,1,0,0,0
4,-,52,-48,0,1,0,0
51,*,7,357,0,0,1,0
4,/,6,0.666666667,0,0,0,1
95,+,38,133,1,0,0,0
80,-,27,53,0,1,0,0
84,*,29,2436,0,0,1,0
2,/,94,0.021276596,0,0,0,1
87,+,86,173,1,0,0,0
26,-,63,-37,0,1,0,0
80,*,39,3120,0,0,1,0
66,/,56,1.178571429,0,0,0,1
100,+,75,175,1,0,0,0
46,-,21,25,0,1,0,0
17,*,47,799,0,0,1,0
28,/,6,4.666666667,0,0,0,1
47,+,65,112,1,0,0,0
3,-,37,-34,0,1,0,0
89,*,38,3382,0,0,1,0
45,/,57,0.789473684,0,0,0,1
87,+,13,100,1,0,0,0
50,-,61,-11,0,1,0,0
87,*,67,5829,0,0,1,0
68,/,36,1.888888889,0,0,0,1
77,+,41,118,1,0,0,0
35,-,22,13,0,1,0,0
76,*,61,4636,0,0,1,0
91,/,16,5.6875,0,0,0,1
86,+,37,123,1,0,0,0
38,-,62,-24,0,1,0,0
60,*,42,2520,0,0,1,0
13,/,68,0.191176471,0,0,0,1
21,+,15,36,1,0,0,0
78,-,13,65,0,1,0,0
47,*,21,987,0,0,1,0
35,/,50,0.7,0,0,0,1
46,+,97,143,1,0,0,0
1,-,88,-87,0,1,0,0
40,*,76,3040,0,0,1,0
68,+,89,157,1,0,0,0
29,-,31,-2,0,1,0,0
93,*,47,4371,0,0,1,0
20,/,48,0.416666667,0,0,0,1
1,+,93,94,1,0,0,0
48,-,55,-7,0,1,0,0
90,*,5,450,0,0,1,0
4,/,30,0.133333333,0,0,0,1
21,+,2,23,1,0,0,0
66,-,66,0,0,1,0,0
90,*,76,6840,0,0,1,0
94,/,48,1.958333333,0,0,0,1
25,+,76,101,1,0,0,0
78,-,50,28,0,1,0,0
46,*,44,2024,0,0,1,0
24,/,72,0.333333333,0,0,0,1
14,+,6,20,1,0,0,0
53,-,91,-38,0,1,0,0
88,*,94,8272,0,0,1,0
41,/,4,10.25,0,0,0,1
48,+,83,131,1,0,0,0
48,-,79,-31,0,1,0,0
39,*,99,3861,0,0,1,0
3,/,73,0.04109589,0,0,0,1
55,+,87,142,1,0,0,0
62,-,30,32,0,1,0,0
20,*,47,940,0,0,1,0
5,/,87,0.057471264,0,0,0,1
62,+,58,120,1,0,0,0
72,-,24,48,0,1,0,0
13,*,17,221,0,0,1,0
23,/,29,0.793103448,0,0,0,1
39,+,9,48,1,0,0,0
69,-,20,49,0,1,0,0
68,*,56,3808,0,0,1,0
83,/,82,1.012195122,0,0,0,1
18,+,85,103,1,0,0,0
84,-,41,43,0,1,0,0
45,*,34,1530,0,0,1,0
99,/,70,1.414285714,0,0,0,1
21,+,6,27,1,0,0,0
93,-,97,-4,0,1,0,0
85,*,48,4080,0,0,1,0
79,/,58,1.362068966,0,0,0,1
50,+,4,54,1,0,0,0
9,-,1,8,0,1,0,0
82,*,47,3854,0,0,1,0
20,/,14,1.428571429,0,0,0,1
57,+,20,77,1,0,0,0
22,-,65,-43,0,1,0,0
22,*,26,572,0,0,1,0
1,/,69,0.014492754,0,0,0,1
58,+,39,97,1,0,0,0
55,-,15,40,0,1,0,0
31,*,77,2387,0,0,1,0
2,/,64,0.03125,0,0,0,1
37,+,89,126,1,0,0,0
40,-,60,-20,0,1,0,0
41,*,42,1722,0,0,1,0
13,/,80,0.1625,0,0,0,1
37,+,42,79,1,0,0,0
32,-,86,-54,0,1,0,0
74,*,17,1258,0,0,1,0
63,/,83,0.759036145,0,0,0,1
84,+,98,182,1,0,0,0
91,-,88,3,0,1,0,0
47,*,70,3290,0,0,1,0
88,/,63,1.396825397,0,0,0,1
24,+,29,53,1,0,0,0
5,-,66,-61,0,1,0,0
86,*,44,3784,0,0,1,0
8,/,38,0.210526316,0,0,0,1
78,+,96,174,1,0,0,0
75,-,30,45,0,1,0,0
57,*,74,4218,0,0,1,0
2,/,42,0.047619048,0,0,0,1
73,+,21,94,1,0,0,0
3,-,56,-53,0,1,0,0
39,*,46,1794,0,0,1,0
67,/,78,0.858974359,0,0,0,1
89,+,60,149,1,0,0,0
61,-,56,5,0,1,0,0
15,*,49,735,0,0,1,0
54,/,93,0.580645161,0,0,0,1
26,+,61,87,1,0,0,0
60,-,1,59,0,1,0,0
96,*,12,1152,0,0,1,0
51,/,15,3.4,0,0,0,1
83,+,62,145,1,0,0,0
46,-,63,-17,0,1,0,0
83,*,35,2905,0,0,1,0
89,/,47,1.893617021,0,0,0,1
85,+,20,105,1,0,0,0
46,-,99,-53,0,1,0,0
86,*,47,4042,0,0,1,0
2,/,89,0.02247191,0,0,0,1
85,+,57,142,1,0,0,0
8,-,31,-23,0,1,0,0
82,*,17,1394,0,0,1,0
35,/,97,0.360824742,0,0,0,1
30,+,97,127,1,0,0,0
13,-,66,-53,0,1,0,0
51,*,77,3927,0,0,1,0
11,/,22,0.5,0,0,0,1
14,+,39,53,1,0,0,0
54,-,93,-39,0,1,0,0
33,*,1,33,0,0,1,0
78,/,89,0.876404494,0,0,0,1
42,+,99,141,1,0,0,0
0,-,27,-27,0,1,0,0
68,*,46,3128,0,0,1,0
17,/,57,0.298245614,0,0,0,1
33,+,72,105,1,0,0,0
2,-,54,-52,0,1,0,0
27,*,29,783,0,0,1,0
55,/,73,0.753424658,0,0,0,1
99,+,83,182,1,0,0,0
37,-,84,-47,0,1,0,0
16,*,26,416,0,0,1,0
96,/,64,1.5,0,0,0,1
95,+,84,179,1,0,0,0
14,-,97,-83,0,1,0,0
46,*,5,230,0,0,1,0
9,/,29,0.310344828,0,0,0,1
87,+,42,129,1,0,0,0
87,-,52,35,0,1,0,0
89,*,37,3293,0,0,1,0
80,/,98,0.816326531,0,0,0,1
78,+,69,147,1,0,0,0
36,-,86,-50,0,1,0,0
59,*,19,1121,0,0,1,0
22,/,4,5.5,0,0,0,1
77,+,44,121,1,0,0,0
79,-,26,53,0,1,0,0
43,*,64,2752,0,0,1,0
40,/,5,8,0,0,0,1
67,+,57,124,1,0,0,0
88,-,37,51,0,1,0,0
63,*,84,5292,0,0,1,0
73,/,29,2.517241379,0,0,0,1
37,+,29,66,1,0,0,0
32,-,30,2,0,1,0,0
66,*,57,3762,0,0,1,0
35,/,39,0.897435897,0,0,0,1
27,+,52,79,1,0,0,0
25,-,89,-64,0,1,0,0
85,*,21,1785,0,0,1,0
76,/,86,0.88372093,0,0,0,1
33,+,68,101,1,0,0,0
89,-,85,4,0,1,0,0
58,*,81,4698,0,0,1,0
79,/,88,0.897727273,0,0,0,1
76,+,11,87,1,0,0,0
93,-,76,17,0,1,0,0
5,*,61,305,0,0,1,0
37,/,87,0.425287356,0,0,0,1
68,+,7,75,1,0,0,0
21,-,56,-35,0,1,0,0
17,*,71,1207,0,0,1,0
91,/,98,0.928571429,0,0,0,1
85,+,33,118,1,0,0,0
19,-,80,-61,0,1,0,0
24,*,64,1536,0,0,1,0
34,/,83,0.409638554,0,0,0,1
55,+,40,95,1,0,0,0
8,-,7,1,0,1,0,0
36,*,3,108,0,0,1,0
92,/,17,5.411764706,0,0,0,1
19,+,62,81,1,0,0,0
61,-,18,43,0,1,0,0
23,*,94,2162,0,0,1,0
100,/,77,1.298701299,0,0,0,1
9,+,57,66,1,0,0,0
34,-,32,2,0,1,0,0
48,*,75,3600,0,0,1,0
55,/,85,0.647058824,0,0,0,1
8,+,56,64,1,0,0,0
97,-,7,90,0,1,0,0
92,*,91,8372,0,0,1,0
71,/,61,1.163934426,0,0,0,1
8,+,36,44,1,0,0,0
85,-,96,-11,0,1,0,0
54,*,24,1296,0,0,1,0
33,/,48,0.6875,0,0,0,1
75,+,79,154,1,0,0,0
38,-,46,-8,0,1,0,0
90,*,78,7020,0,0,1,0
89,/,18,4.944444444,0,0,0,1
14,+,58,72,1,0,0,0
73,-,84,-11,0,1,0,0
52,*,89,4628,0,0,1,0
24,/,35,0.685714286,0,0,0,1
51,+,1,52,1,0,0,0
78,-,30,48,0,1,0,0
51,*,43,2193,0,0,1,0
77,/,42,1.833333333,0,0,0,1
61,+,6,67,1,0,0,0
87,-,38,49,0,1,0,0
19,*,18,342,0,0,1,0
83,/,96,0.864583333,0,0,0,1
54,+,39,93,1,0,0,0
51,-,35,16,0,1,0,0
13,*,20,260,0,0,1,0
47,/,70,0.671428571,0,0,0,1
87,+,56,143,1,0,0,0
98,-,98,0,0,1,0,0
50,*,57,2850,0,0,1,0
76,/,44,1.727272727,0,0,0,1
33,+,55,88,1,0,0,0
0,-,5,-5,0,1,0,0
67,*,43,2881,0,0,1,0
49,/,25,1.96,0,0,0,1
73,+,18,91,1,0,0,0
4,-,77,-73,0,1,0,0
34,*,48,1632,0,0,1,0
43,/,80,0.5375,0,0,0,1
78,+,27,105,1,0,0,0
1,-,43,-42,0,1,0,0
95,*,64,6080,0,0,1,0
9,/,12,0.75,0,0,0,1
12,+,95,107,1,0,0,0
28,-,78,-50,0,1,0,0
24,*,36,864,0,0,1,0
57,/,87,0.655172414,0,0,0,1
79,+,30,109,1,0,0,0
74,-,24,50,0,1,0,0
21,*,29,609,0,0,1,0
40,/,29,1.379310345,0,0,0,1
25,+,54,79,1,0,0,0
49,-,76,-27,0,1,0,0
31,*,56,1736,0,0,1,0
83,/,69,1.202898551,0,0,0,1
62,+,50,112,1,0,0,0
40,-,13,27,0,1,0,0
80,*,10,800,0,0,1,0
46,/,26,1.769230769,0,0,0,1
61,+,81,142,1,0,0,0
66,-,69,-3,0,1,0,0
71,*,23,1633,0,0,1,0
7,/,7,1,0,0,0,1
25,+,88,113,1,0,0,0
81,-,26,55,0,1,0,0
42,*,33,1386,0,0,1,0
71,/,92,0.77173913,0,0,0,1
97,+,95,192,1,0,0,0
42,-,38,4,0,1,0,0
53,*,23,1219,0,0,1,0
47,/,58,0.810344828,0,0,0,1
16,+,65,81,1,0,0,0
17,-,4,13,0,1,0,0
45,*,65,2925,0,0,1,0
64,/,11,5.818181818,0,0,0,1
40,+,20,60,1,0,0,0
74,-,37,37,0,1,0,0
37,*,89,3293,0,0,1,0
6,/,86,0.069767442,0,0,0,1
32,+,97,129,1,0,0,0
82,-,0,82,0,1,0,0
99,*,38,3762,0,0,1,0
57,/,89,0.640449438,0,0,0,1
84,+,88,172,1,0,0,0
92,-,6,86,0,1,0,0
6,*,13,78,0,0,1,0
36,/,66,0.545454545,0,0,0,1
15,+,14,29,1,0,0,0
54,-,74,-20,0,1,0,0
93,*,54,5022,0,0,1,0
47,/,49,0.959183673,0,0,0,1
96,+,52,148,1,0,0,0
73,-,92,-19,0,1,0,0
22,*,85,1870,0,0,1,0
24,/,97,0.24742268,0,0,0,1
18,+,50,68,1,0,0,0
1,-,47,-46,0,1,0,0
97,*,5,485,0,0,1,0
12,/,77,0.155844156,0,0,0,1
32,+,21,53,1,0,0,0
98,-,98,0,0,1,0,0
61,*,92,5612,0,0,1,0
41,/,41,1,0,0,0,1
72,+,59,131,1,0,0,0
45,-,94,-49,0,1,0,0
13,*,80,1040,0,0,1,0
13,/,32,0.40625,0,0,0,1
44,+,87,131,1,0,0,0
39,-,15,24,0,1,0,0
92,*,39,3588,0,0,1,0
43,/,36,1.194444444,0,0,0,1
55,+,65,120,1,0,0,0
29,-,46,-17,0,1,0,0
31,*,90,2790,0,0,1,0
62,/,34,1.823529412,0,0,0,1
16,+,63,79,1,0,0,0
22,-,31,-9,0,1,0,0
76,*,98,7448,0,0,1,0
7,/,87,0.08045977,0,0,0,1
36,+,1,37,1,0,0,0
79,-,95,-16,0,1,0,0
3,*,83,249,0,0,1,0
79,/,93,0.849462366,0,0,0,1
7,+,67,74,1,0,0,0
21,-,14,7,0,1,0,0
71,*,47,3337,0,0,1,0
13,/,1,13,0,0,0,1
65,+,68,133,1,0,0,0
40,-,30,10,0,1,0,0
50,*,67,3350,0,0,1,0
42,/,96,0.4375,0,0,0,1
24,+,85,109,1,0,0,0
71,-,26,45,0,1,0,0
37,*,9,333,0,0,1,0
44,/,75,0.586666667,0,0,0,1
17,+,13,30,1,0,0,0
77,-,93,-16,0,1,0,0
18,*,51,918,0,0,1,0
86,/,47,1.829787234,0,0,0,1
54,+,64,118,1,0,0,0
81,-,97,-16,0,1,0,0
48,*,47,2256,0,0,1,0
28,/,47,0.595744681,0,0,0,1
89,+,92,181,1,0,0,0
84,-,98,-14,0,1,0,0
73,*,32,2336,0,0,1,0
23,/,39,0.58974359,0,0,0,1
100,+,78,178,1,0,0,0
95,-,83,12,0,1,0,0
61,*,99,6039,0,0,1,0
95,/,78,1.217948718,0,0,0,1
84,+,31,115,1,0,0,0
33,-,34,-1,0,1,0,0
46,*,70,3220,0,0,1,0
74,/,77,0.961038961,0,0,0,1
35,+,31,66,1,0,0,0
81,-,86,-5,0,1,0,0
55,*,19,1045,0,0,1,0
58,/,89,0.651685393,0,0,0,1
27,+,53,80,1,0,0,0
37,-,89,-52,0,1,0,0
58,*,74,4292,0,0,1,0
44,/,77,0.571428571,0,0,0,1
5,+,63,68,1,0,0,0
